Resuming checkpoint: D:\AI\projects\e-phishGen\calculation\HWT-MGT\results\combined_calculation_metrics.partial.json
Running 2352 samples on cuda
Stage causal_metrics: 0 samples pending
Stage perplexity: 0 samples pending
Stage uid: 1492 samples pending
uid 1/1492 COMBINED_0861
uid 2/1492 COMBINED_0862
uid 3/1492 COMBINED_0863
uid 4/1492 COMBINED_0864
uid 5/1492 COMBINED_0865
uid 6/1492 COMBINED_0866
uid 7/1492 COMBINED_0867
uid 8/1492 COMBINED_0868
uid 9/1492 COMBINED_0869
uid 10/1492 COMBINED_0870
uid 11/1492 COMBINED_0871
uid 12/1492 COMBINED_0872
uid 13/1492 COMBINED_0873
uid 14/1492 COMBINED_0874
uid 15/1492 COMBINED_0875
uid 16/1492 COMBINED_0876
uid 17/1492 COMBINED_0877
uid 18/1492 COMBINED_0878
uid 19/1492 COMBINED_0879
uid 20/1492 COMBINED_0880
uid 21/1492 COMBINED_0881
uid 22/1492 COMBINED_0882
uid 23/1492 COMBINED_0883
uid 24/1492 COMBINED_0884
uid 25/1492 COMBINED_0885
uid 26/1492 COMBINED_0886
uid 27/1492 COMBINED_0887
uid 28/1492 COMBINED_0888
uid 29/1492 COMBINED_0889
uid 30/1492 COMBINED_0890
uid 31/1492 COMBINED_0891
uid 32/1492 COMBINED_0892
uid 33/1492 COMBINED_0893
uid 34/1492 COMBINED_0894
uid 35/1492 COMBINED_0895
uid 36/1492 COMBINED_0896
uid 37/1492 COMBINED_0897
uid 38/1492 COMBINED_0898
uid 39/1492 COMBINED_0899
uid 40/1492 COMBINED_0900
uid 41/1492 COMBINED_0901
uid 42/1492 COMBINED_0902
uid 43/1492 COMBINED_0903
uid 44/1492 COMBINED_0904
uid 45/1492 COMBINED_0905
uid 46/1492 COMBINED_0906
uid 47/1492 COMBINED_0907
uid 48/1492 COMBINED_0908
uid 49/1492 COMBINED_0909
uid 50/1492 COMBINED_0910
uid 51/1492 COMBINED_0911
uid 52/1492 COMBINED_0912
uid 53/1492 COMBINED_0913
uid 54/1492 COMBINED_0914
uid 55/1492 COMBINED_0915
uid 56/1492 COMBINED_0916
uid 57/1492 COMBINED_0917
uid 58/1492 COMBINED_0918
uid 59/1492 COMBINED_0919
uid 60/1492 COMBINED_0920
uid 61/1492 COMBINED_0921
uid 62/1492 COMBINED_0922
uid 63/1492 COMBINED_0923
uid 64/1492 COMBINED_0924
uid 65/1492 COMBINED_0925
uid 66/1492 COMBINED_0926
uid 67/1492 COMBINED_0927
uid 68/1492 COMBINED_0928
uid 69/1492 COMBINED_0929
uid 70/1492 COMBINED_0930
uid 71/1492 COMBINED_0931
uid 72/1492 COMBINED_0932
uid 73/1492 COMBINED_0933
uid 74/1492 COMBINED_0934
uid 75/1492 COMBINED_0935
uid 76/1492 COMBINED_0936
uid 77/1492 COMBINED_0937
uid 78/1492 COMBINED_0938
uid 79/1492 COMBINED_0939
uid 80/1492 COMBINED_0940
uid 81/1492 COMBINED_0941
uid 82/1492 COMBINED_0942
uid 83/1492 COMBINED_0943
uid 84/1492 COMBINED_0944
uid 85/1492 COMBINED_0945
uid 86/1492 COMBINED_0946
uid 87/1492 COMBINED_0947
uid 88/1492 COMBINED_0948
uid 89/1492 COMBINED_0949
uid 90/1492 COMBINED_0950
uid 91/1492 COMBINED_0951
uid 92/1492 COMBINED_0952
uid 93/1492 COMBINED_0953
uid 94/1492 COMBINED_0954
uid 95/1492 COMBINED_0955
uid 96/1492 COMBINED_0956
uid 97/1492 COMBINED_0957
uid 98/1492 COMBINED_0958
uid 99/1492 COMBINED_0959
uid 100/1492 COMBINED_0960
uid 101/1492 COMBINED_0961
uid 102/1492 COMBINED_0962
uid 103/1492 COMBINED_0963
uid 104/1492 COMBINED_0964
uid 105/1492 COMBINED_0965
uid 106/1492 COMBINED_0966
uid 107/1492 COMBINED_0967
uid 108/1492 COMBINED_0968
uid 109/1492 COMBINED_0969
uid 110/1492 COMBINED_0970
uid 111/1492 COMBINED_0971
uid 112/1492 COMBINED_0972
uid 113/1492 COMBINED_0973
uid 114/1492 COMBINED_0974
uid 115/1492 COMBINED_0975
uid 116/1492 COMBINED_0976
uid 117/1492 COMBINED_0977
uid 118/1492 COMBINED_0978
uid 119/1492 COMBINED_0979
uid 120/1492 COMBINED_0980
uid 121/1492 COMBINED_0981
uid 122/1492 COMBINED_0982
uid 123/1492 COMBINED_0983
uid 124/1492 COMBINED_0984
uid 125/1492 COMBINED_0985
uid 126/1492 COMBINED_0986
uid 127/1492 COMBINED_0987
uid 128/1492 COMBINED_0988
uid 129/1492 COMBINED_0989
uid 130/1492 COMBINED_0990
uid 131/1492 COMBINED_0991
uid 132/1492 COMBINED_0992
uid 133/1492 COMBINED_0993
uid 134/1492 COMBINED_0994
uid 135/1492 COMBINED_0995
uid 136/1492 COMBINED_0996
uid 137/1492 COMBINED_0997
uid 138/1492 COMBINED_0998
uid 139/1492 COMBINED_0999
uid 140/1492 COMBINED_1000
uid 141/1492 COMBINED_1001
uid 142/1492 COMBINED_1002
