Resuming checkpoint: D:\AI\projects\e-phishGen\calculation\HWT-MGT\results\scaled_stratified_pool_8980_metrics.partial.json
Running 8980 samples on cuda
Stage causal_metrics: 0 samples pending
Stage perplexity: 0 samples pending
Stage uid: 0 samples pending
Stage embedding: 8980 samples pending
embedding 1/8980 HWT_000399
embedding 2/8980 HWT_001121
embedding 3/8980 HWT_001290
embedding 4/8980 HWT_002586
embedding 5/8980 HWT_002689
embedding 6/8980 HWT_002702
embedding 7/8980 HWT_003168
embedding 8/8980 HWT_003258
embedding 9/8980 HWT_003266
embedding 10/8980 HWT_003471
embedding 11/8980 HWT_003654
embedding 12/8980 HWT_003670
embedding 13/8980 HWT_003706
embedding 14/8980 HWT_003954
embedding 15/8980 HWT_004006
embedding 16/8980 HWT_004335
embedding 17/8980 HWT_004659
embedding 18/8980 HWT_004886
embedding 19/8980 HWT_004924
embedding 20/8980 HWT_005034
embedding 21/8980 HWT_005145
embedding 22/8980 HWT_005408
embedding 23/8980 HWT_005447
embedding 24/8980 HWT_005463
embedding 25/8980 HWT_005653
embedding 26/8980 HWT_005712
embedding 27/8980 HWT_005900
embedding 28/8980 HWT_006489
embedding 29/8980 HWT_006499
embedding 30/8980 HWT_006505
embedding 31/8980 HWT_007076
embedding 32/8980 HWT_007084
embedding 33/8980 HWT_007131
embedding 34/8980 HWT_007397
embedding 35/8980 HWT_007404
embedding 36/8980 HWT_007420
embedding 37/8980 HWT_007503
embedding 38/8980 HWT_007759
embedding 39/8980 HWT_008254
embedding 40/8980 HWT_008819
embedding 41/8980 HWT_009018
embedding 42/8980 HWT_009277
embedding 43/8980 HWT_009938
embedding 44/8980 HWT_010040
embedding 45/8980 HWT_010041
embedding 46/8980 HWT_010086
embedding 47/8980 HWT_010299
embedding 48/8980 HWT_010496
embedding 49/8980 HWT_011281
embedding 50/8980 HWT_011508
embedding 51/8980 HWT_011667
embedding 52/8980 HWT_011720
embedding 53/8980 HWT_012350
embedding 54/8980 HWT_012813
embedding 55/8980 HWT_012896
embedding 56/8980 HWT_013100
embedding 57/8980 HWT_013271
embedding 58/8980 HWT_013325
embedding 59/8980 HWT_013421
embedding 60/8980 HWT_013572
embedding 61/8980 HWT_013596
embedding 62/8980 HWT_013614
embedding 63/8980 HWT_013768
embedding 64/8980 HWT_013788
